id	yearsAgo	commonsPage	directUrl	licenseShortName	width	height	contested
gobekli-tepe	11500	https://commons.wikimedia.org/wiki/File:GobeklitepeHeykel.jpg	https://upload.wikimedia.org/wikipedia/commons/e/e5/GobeklitepeHeykel.jpg	Public domain	977	1560	true
jomon-pottery	10000	https://commons.wikimedia.org/wiki/File:JomonPottery.JPG	https://upload.wikimedia.org/wikipedia/commons/9/9f/JomonPottery.JPG	Public domain	950	1037	true
tower-of-jericho	10000	https://commons.wikimedia.org/wiki/File:Tower_of_Jericho.jpg	https://upload.wikimedia.org/wikipedia/commons/0/03/Tower_of_Jericho.jpg	Public domain	2592	1944	true
catalhoyuk-mural	7500	https://commons.wikimedia.org/wiki/File:Chatal_H%C3%BCy%C3%BCk,_dancers_with_leopard_skins,_6000_BC.jpg	https://upload.wikimedia.org/wikipedia/commons/8/8e/Chatal_H%C3%BCy%C3%BCk%2C_dancers_with_leopard_skins%2C_6000_BC.jpg	Public domain	2647	1576	false
flint-sickle	6250	https://commons.wikimedia.org/wiki/File:Bifacial_Sickle_Insert,_4500-4000_BCE,_Egypt,_Western_Delta,_Merimda_Beni_Salama.jpg	https://upload.wikimedia.org/wikipedia/commons/b/b3/Bifacial_Sickle_Insert%2C_4500-4000_BCE%2C_Egypt%2C_Western_Delta%2C_Merimda_Beni_Salama.jpg	CC0	1942	3133	false
copper-awl	6000	https://commons.wikimedia.org/wiki/File:Awl_MET_ME38_40_396.jpg	https://upload.wikimedia.org/wikipedia/commons/5/53/Awl_MET_ME38_40_396.jpg	CC0	800	308	true
narmer-palette	5100	https://commons.wikimedia.org/wiki/File:Narmer_Palette_smiting_side.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Narmer_Palette_smiting_side.jpg/960px-Narmer_Palette_smiting_side.jpg	Public domain	2295	3388	false
great-pyramid-giza	4560	https://commons.wikimedia.org/wiki/File:Spelterini_Pyramids.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Spelterini_Pyramids.jpg/960px-Spelterini_Pyramids.jpg	Public domain	1800	1320	false
stonehenge	4500	https://commons.wikimedia.org/wiki/File:Stonehenge_-_England.JPG	https://upload.wikimedia.org/wikipedia/commons/3/39/Stonehenge_-_England.JPG	Public domain	1024	768	false
cuneiform-tablet-akkadian	4000	https://commons.wikimedia.org/wiki/File:Cuneiform_Akkadian_clay_tablet_1.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Cuneiform_Akkadian_clay_tablet_1.jpg/960px-Cuneiform_Akkadian_clay_tablet_1.jpg	Public domain	2719	3000	false
code-of-hammurabi	3750	https://commons.wikimedia.org/wiki/File:Code_of_Hammurabi,_SB_8_(23).jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Code_of_Hammurabi%2C_SB_8_%2823%29.jpg/960px-Code_of_Hammurabi%2C_SB_8_%2823%29.jpg	Public domain	2112	2816	false
shang-oracle-bone	3200	https://commons.wikimedia.org/wiki/File:Shang_Inscribed_Ox_Bone_(9830574766).jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Shang_Inscribed_Ox_Bone_%289830574766%29.jpg/960px-Shang_Inscribed_Ox_Bone_%289830574766%29.jpg	CC0	3456	5184	false
chinese-bronze-zun-inscription	3150	https://commons.wikimedia.org/wiki/File:Bronze_Zun_with_Inscription,_Late_Shang,_13th-11th_C._BC_01a.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Bronze_Zun_with_Inscription%2C_Late_Shang%2C_13th-11th_C._BC_01a.jpg/960px-Bronze_Zun_with_Inscription%2C_Late_Shang%2C_13th-11th_C._BC_01a.jpg	CC0	5184	3456	false
lydian-gold-stater-croesus	2553	https://commons.wikimedia.org/wiki/File:Gold_stater_-_MET_26.59.2.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Gold_stater_-_MET_26.59.2.jpg/960px-Gold_stater_-_MET_26.59.2.jpg	CC0	4000	3000	false
parthenon-colonnade	2447	https://commons.wikimedia.org/wiki/File:Colonnade_Parthenon_Acropolis,_Athens,_Greece.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Colonnade_Parthenon_Acropolis%2C_Athens%2C_Greece.jpg/960px-Colonnade_Parthenon_Acropolis%2C_Athens%2C_Greece.jpg	CC0	4592	3056	false
terracotta-army-warrior	2210	https://commons.wikimedia.org/wiki/File:Qin_Terracotta_Warrior_01.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Qin_Terracotta_Warrior_01.jpg/960px-Qin_Terracotta_Warrior_01.jpg	CC0	3168	4752	false
rosetta-stone	2196	https://commons.wikimedia.org/wiki/File:Gallery_of_antiquities,_selected_from_the_British_Museum_(1842)Figure_176.jpg	https://upload.wikimedia.org/wikipedia/commons/f/f3/Gallery_of_antiquities%2C_selected_from_the_British_Museum_%281842%29Figure_176.jpg	Public domain	799	1146	false
fangmatan-paper-map	2180	https://commons.wikimedia.org/wiki/File:Fangmatan_paper_map.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Fangmatan_paper_map.jpg/960px-Fangmatan_paper_map.jpg	Public domain	609	489	false
great-stupa-sanchi	2100	https://commons.wikimedia.org/wiki/File:The_Great_Stupa_at_Sanchi_in_Madhya_Pradesh.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/The_Great_Stupa_at_Sanchi_in_Madhya_Pradesh.jpg/960px-The_Great_Stupa_at_Sanchi_in_Madhya_Pradesh.jpg	CC0	1000	499	false
